country	Visitors	Pageviews	Bounce Rate	Duration
US	11420	69558	69%	9m 27s
CN	2833	2997	97%	4s
BR	762	853	97%	11s
GB	704	1297	72%	34s
DE	542	1557	62%	1m 38s
AU	419	2310	51%	4m 23s
IR	341	349	98%	1s
IN	312	456	83%	20s
CA	310	553	66%	23s
VN	307	313	99%	2s
FR	276	528	76%	49s
UA	188	191	99%	1s
NL	182	245	87%	17s
CH	157	380	65%	1m 35s
IT	148	261	57%	41s
BE	137	694	37%	4m 23s
BD	127	133	98%	3s
PK	117	130	97%	4s
PL	115	161	91%	20s
ES	112	176	79%	28s
SG	108	157	92%	7s
RU	99	122	92%	6s
ZA	96	124	90%	8s
AR	94	103	97%	9s
KE	92	133	84%	23s
MX	81	97	93%	8s
SA	81	100	96%	6s
JP	74	174	72%	47s
HK	62	74	92%	7s
CO	58	58	100%	-
TR	55	65	91%	4s
RO	54	56	98%	1s
SE	53	77	89%	20s
KR	49	74	84%	45s
MA	46	51	98%	37s
IQ	46	58	94%	21s
CL	45	53	96%	5s
IE	37	48	84%	2s
NG	36	45	92%	2s
DK	36	39	97%	3s
TH	35	46	86%	10s
AE	35	62	86%	24s
DZ	35	35	100%	-
AT	34	47	83%	10s
TN	34	49	91%	23s
ID	34	43	91%	27s
CZ	30	43	90%	1m 11s
IL	29	44	91%	1m 17s
NO	29	44	79%	36s
MY	28	37	89%	4s
KZ	26	26	100%	-
PT	24	47	84%	1m 46s
EC	24	25	100%	-
TW	23	47	81%	32s
ET	23	29	74%	4s
JO	23	31	96%	18s
FI	22	27	86%	1s
PH	22	25	96%	2s
EG	22	24	91%	1s
NZ	22	26	82%	18s
HU	21	32	82%	24s
UZ	20	20	100%	-
PE	19	25	86%	8s
MU	17	18	94%	1s
SN	15	25	81%	1m 30s
AL	15	17	87%	4s
VE	15	15	100%	-
MD	14	14	100%	-
PY	14	17	93%	8s
AZ	14	14	100%	-
GR	13	32	62%	43s
BM	12	26	67%	1m 50s
BY	12	12	100%	-
BH	12	18	83%	1m 02s
LT	12	12	100%	-
LU	12	12	100%	-
AS	12	22	67%	6s
NP	12	12	100%	-
AD	11	29	73%	7m 28s
RS	11	12	91%	3s
BG	11	12	91%	5s
DO	11	12	91%	33s
GE	11	11	100%	-
AO	11	11	100%	-
OM	11	11	100%	-
CR	10	13	80%	23s
CG	10	10	100%	-
LK	9	19	78%	46s
TT	9	9	100%	-
BO	8	8	100%	-
LB	8	8	100%	-
PA	8	8	100%	-
KH	8	8	100%	-
UY	8	8	100%	-
GM	7	12	57%	2m 59s
BA	7	7	100%	-
SY	7	7	100%	-
MW	6	10	83%	2s
IS	6	6	100%	-
CM	6	6	100%	-
PS	6	6	100%	-
GH	5	8	60%	18s
ML	5	5	100%	-
LV	5	7	80%	4m 00s
MN	5	25	60%	14s
BS	5	9	80%	11s
QA	5	5	100%	-
TZ	5	6	80%	44s
CI	5	5	100%	-
HR	4	5	75%	1s
MG	4	13	40%	59s
GY	4	4	100%	-
KW	4	4	100%	-
MM	4	4	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
PR	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
SV	3	3	100%	-
GT	3	3	100%	-
LR	3	3	100%	-
XK	3	3	100%	-
GA	3	3	100%	-
NA	2	2	100%	-
LY	2	2	100%	-
BF	2	2	100%	-
RW	2	6	0%	58s
CY	2	2	100%	-
SC	2	2	100%	-
BW	2	2	100%	-
KG	2	2	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
CD	1	1	100%	-
ZW	1	1	100%	-
AG	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
GI	1	1	100%	-
HN	1	1	100%	-
TG	1	1	100%	-
JM	1	1	100%	-
NI	1	1	100%	-
MV	1	1	100%	-
AM	1	1	100%	-
BN	1	1	100%	-
