country	Visitors	Pageviews	Bounce Rate	Duration
US	8216	42186	67%	7m 21s
CN	2364	2455	98%	2s
GB	534	1123	64%	44s
DE	483	1458	61%	1m 47s
AU	352	2201	46%	4m 57s
CA	255	468	62%	19s
VN	236	242	98%	2s
IN	211	349	77%	29s
FR	201	447	68%	1m 05s
IR	186	194	97%	2s
NL	162	225	86%	19s
BR	136	215	86%	35s
CH	133	332	66%	1m 47s
BE	130	686	35%	4m 35s
IT	129	242	51%	47s
UA	91	94	99%	1s
ES	90	154	74%	34s
PL	88	124	91%	23s
SG	82	130	91%	9s
KE	66	107	77%	32s
JP	50	107	67%	52s
BD	49	55	94%	8s
RU	48	70	85%	12s
SE	42	60	88%	15s
HK	41	53	88%	10s
ZA	38	62	77%	20s
RO	36	38	97%	1s
TR	31	41	84%	7s
AT	31	44	81%	10s
KR	31	42	84%	12s
MX	30	38	87%	5s
CZ	26	39	88%	1m 21s
AR	25	33	93%	5s
IE	25	36	76%	3s
NO	24	33	79%	6s
TW	22	46	80%	33s
PT	21	44	82%	2m 00s
FI	19	24	84%	1s
NZ	19	23	79%	21s
AE	19	46	74%	45s
TH	17	25	76%	17s
MY	16	25	81%	6s
ID	16	22	88%	45s
CO	15	15	100%	-
SA	15	31	87%	17s
PH	14	17	93%	3s
HU	14	25	73%	35s
DK	14	15	93%	8s
CL	14	22	86%	17s
PE	13	19	80%	11s
NG	12	21	75%	6s
IL	12	27	81%	2m 39s
PK	12	25	75%	39s
ET	11	16	55%	9s
IQ	11	23	79%	1m 13s
DZ	11	11	100%	-
GR	10	27	60%	44s
LU	10	10	100%	-
BM	9	18	67%	32s
EG	9	11	78%	3s
AD	9	27	67%	9m 08s
MA	9	14	89%	3m 07s
LT	9	9	100%	-
SN	8	18	67%	2m 39s
GM	7	12	57%	2m 59s
CM	6	6	100%	-
AL	6	8	67%	10s
GE	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
IS	5	5	100%	-
BY	5	5	100%	-
TN	5	20	40%	2m 34s
MD	5	5	100%	-
BS	5	9	80%	11s
JO	5	13	80%	1m 22s
EC	5	6	100%	-
VE	5	5	100%	-
AS	5	8	60%	8s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
PA	4	4	100%	-
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
RS	4	5	75%	8s
MG	4	13	40%	59s
BG	4	4	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
MU	3	4	67%	3s
KH	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
ML	2	2	100%	-
MN	2	22	0%	34s
LY	2	2	100%	-
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
PR	2	2	100%	-
NP	2	2	100%	-
QA	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SC	2	2	100%	-
KW	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
