country	Visitors	Pageviews	Bounce Rate	Duration
US	5265	22707	60%	5m 07s
CN	1554	1623	98%	1s
DE	434	1366	58%	1m 50s
GB	417	959	57%	49s
AU	304	1675	48%	4m 13s
CA	210	384	58%	18s
IN	149	267	74%	31s
VN	133	139	97%	4s
FR	130	277	66%	1m 05s
NL	124	155	85%	6s
BE	113	629	29%	4m 57s
CH	110	286	65%	2m 05s
IT	101	204	47%	59s
BR	92	170	82%	49s
ES	73	137	69%	42s
KE	66	107	77%	32s
PL	57	92	88%	34s
SG	50	98	86%	14s
RU	46	68	85%	12s
JP	36	77	68%	1m 08s
SE	35	53	86%	18s
HK	32	44	84%	13s
AT	29	42	80%	11s
ZA	27	47	70%	26s
CZ	24	37	88%	1m 28s
NO	23	32	78%	7s
MX	22	30	83%	7s
TR	21	28	81%	7s
RO	20	22	95%	2s
IE	20	30	75%	3s
NZ	19	23	79%	21s
PT	18	41	79%	2m 19s
BD	17	21	88%	6s
TW	16	37	79%	39s
FI	16	18	88%	-
AR	15	22	94%	6s
KR	15	23	80%	13s
IR	15	17	87%	1s
HU	13	24	71%	38s
TH	13	21	69%	22s
AE	12	39	58%	1m 11s
DK	11	11	100%	-
ET	10	15	50%	9s
NG	10	19	70%	7s
PE	10	16	75%	13s
SA	10	26	80%	26s
ID	10	16	80%	1m 11s
LU	10	10	100%	-
IQ	10	21	75%	1m 25s
IL	9	24	77%	3m 16s
GR	9	26	56%	49s
AD	9	27	67%	9m 08s
UA	9	12	89%	15s
BM	8	17	62%	36s
PH	8	11	89%	5s
SN	8	18	67%	2m 39s
MY	8	15	75%	10s
EG	8	10	75%	4s
CL	8	15	88%	28s
GM	7	12	57%	2m 59s
CO	7	7	100%	-
PK	7	17	71%	54s
DZ	7	7	100%	-
CM	6	6	100%	-
MA	6	11	83%	4m 41s
MW	5	9	80%	2s
BY	5	5	100%	-
BS	5	9	80%	11s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
IS	4	4	100%	-
LV	4	6	75%	5m 00s
TN	4	19	25%	3m 13s
JO	4	12	75%	1m 43s
EC	4	5	100%	-
BO	3	3	100%	-
LB	3	3	100%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
KZ	3	3	100%	-
LK	3	13	33%	2m 18s
BZ	3	9	67%	17s
LT	3	3	100%	-
MG	3	12	25%	1m 14s
KH	3	3	100%	-
PY	3	6	67%	37s
LA	3	3	100%	-
ML	2	2	100%	-
SK	2	3	50%	-
MN	2	22	0%	34s
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
VE	2	2	100%	-
PR	2	2	100%	-
QA	2	2	100%	-
BG	2	2	100%	-
SC	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
UZ	1	1	100%	-
SI	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
