country	Visitors	Pageviews	Bounce Rate	Duration
US	10892	67251	68%	9m 45s
CN	2677	2806	98%	3s
GB	677	1269	71%	35s
DE	519	1531	61%	1m 42s
BR	510	598	95%	12s
AU	393	2284	49%	4m 35s
IR	333	341	98%	1s
CA	290	516	64%	21s
IN	252	394	80%	24s
VN	248	254	98%	2s
FR	229	481	71%	59s
NL	174	237	87%	18s
CH	146	355	67%	1m 40s
IT	136	249	54%	45s
BE	132	688	36%	4m 31s
UA	129	132	99%	1s
PL	106	152	91%	22s
SG	102	151	92%	7s
ES	95	159	76%	33s
BD	73	79	96%	5s
KE	67	108	78%	32s
JP	63	163	68%	54s
HK	57	69	91%	7s
RU	53	75	87%	11s
RO	51	53	98%	1s
SE	51	75	88%	21s
AR	47	55	96%	3s
ZA	45	73	79%	17s
KR	42	67	81%	53s
MX	39	54	88%	16s
TR	38	48	87%	6s
AT	32	45	82%	10s
CO	31	31	100%	-
NO	28	37	82%	5s
CZ	27	40	89%	1m 18s
IE	26	37	77%	3s
MY	23	32	87%	4s
DK	23	24	96%	5s
TW	22	46	80%	33s
PT	22	45	83%	1m 55s
AE	22	49	77%	39s
PK	22	35	86%	21s
TH	20	31	75%	17s
FI	19	24	84%	1s
NZ	19	23	79%	21s
CL	18	26	89%	13s
SA	17	33	88%	15s
ID	17	23	88%	42s
PH	16	19	94%	3s
HU	16	27	76%	31s
PE	14	20	81%	10s
IQ	14	26	82%	1m 00s
NG	13	22	77%	6s
ET	12	17	58%	8s
BM	12	26	67%	1m 50s
IL	12	27	81%	2m 39s
GR	12	31	58%	46s
DZ	12	12	100%	-
AD	11	29	73%	7m 28s
LU	11	11	100%	-
MA	10	15	90%	2m 48s
LT	10	10	100%	-
AS	10	16	70%	6s
EG	9	11	78%	3s
AL	9	11	78%	7s
SN	8	18	67%	2m 39s
BY	8	8	100%	-
VE	8	8	100%	-
GE	8	8	100%	-
TT	8	8	100%	-
GM	7	12	57%	2m 59s
JO	7	15	86%	59s
IS	6	6	100%	-
CM	6	6	100%	-
MD	6	6	100%	-
EC	6	7	100%	-
PY	6	9	83%	19s
GH	5	8	60%	18s
MW	5	9	80%	2s
CR	5	8	60%	46s
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
LK	5	15	60%	1m 23s
MU	5	6	80%	2s
BG	5	5	100%	-
AO	5	5	100%	-
LV	4	6	75%	5m 00s
PA	4	4	100%	-
KZ	4	4	100%	-
RS	4	5	75%	8s
MG	4	13	40%	59s
NP	4	4	100%	-
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
MN	3	23	33%	23s
BZ	3	9	67%	17s
BH	3	9	33%	4m 09s
QA	3	3	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
DO	3	3	100%	-
UZ	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
KW	3	3	100%	-
ML	2	2	100%	-
LY	2	2	100%	-
RW	2	6	0%	58s
PR	2	2	100%	-
BA	2	2	100%	-
AZ	2	2	100%	-
CG	2	2	100%	-
SC	2	2	100%	-
UY	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
AG	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
SV	1	1	100%	-
OM	1	1	100%	-
GI	1	1	100%	-
GT	1	1	100%	-
LR	1	1	100%	-
