country	Visitors	Pageviews	Bounce Rate	Duration
US	5542	24476	62%	5m 22s
CN	1595	1664	98%	1s
DE	439	1386	58%	1m 52s
GB	429	977	58%	52s
AU	313	1748	47%	4m 10s
CA	211	385	58%	18s
IN	157	276	75%	29s
VN	154	160	97%	4s
FR	137	285	67%	1m 02s
NL	129	170	84%	8s
BE	116	651	30%	4m 59s
CH	114	291	65%	2m 01s
IT	101	204	47%	59s
BR	96	174	83%	47s
ES	78	142	71%	39s
KE	66	107	77%	32s
PL	61	96	89%	31s
SG	53	101	86%	13s
RU	46	68	85%	12s
JP	36	77	68%	1m 08s
SE	36	54	86%	17s
HK	33	45	85%	13s
ZA	30	54	71%	25s
AT	30	43	81%	11s
CZ	24	37	88%	1m 28s
MX	24	32	84%	6s
NO	23	32	78%	7s
RO	22	24	95%	2s
TR	21	28	81%	7s
IE	20	30	75%	3s
NZ	19	23	79%	21s
BD	19	23	89%	6s
PT	18	41	79%	2m 19s
FI	17	19	88%	-
IR	17	20	82%	2s
TW	16	37	79%	39s
AR	15	22	94%	6s
KR	15	23	80%	13s
TH	14	22	71%	21s
HU	13	24	71%	38s
AE	13	40	62%	1m 05s
DK	12	12	100%	-
SA	12	28	83%	22s
ET	11	16	55%	9s
NG	11	20	73%	7s
PE	11	17	77%	12s
PH	11	14	92%	4s
ID	11	17	82%	1m 05s
GR	10	27	60%	44s
UA	10	13	90%	14s
LU	10	10	100%	-
IQ	10	21	75%	1m 25s
IL	9	24	77%	3m 16s
MY	9	16	78%	9s
CO	9	9	100%	-
AD	9	27	67%	9m 08s
CL	9	16	89%	24s
PK	9	22	67%	52s
DZ	9	9	100%	-
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
EG	8	10	75%	4s
GM	7	12	57%	2m 59s
MA	7	12	86%	4m 01s
CM	6	6	100%	-
MW	5	9	80%	2s
BY	5	5	100%	-
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
IS	4	4	100%	-
LV	4	6	75%	5m 00s
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
JO	4	12	75%	1m 43s
EC	4	5	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
BZ	3	9	67%	17s
LT	3	3	100%	-
MG	3	12	25%	1m 14s
KH	3	3	100%	-
LA	3	3	100%	-
ML	2	2	100%	-
SK	2	3	50%	-
MN	2	22	0%	34s
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
VE	2	2	100%	-
PR	2	2	100%	-
QA	2	2	100%	-
BG	2	2	100%	-
SC	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
UZ	1	1	100%	-
SI	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
