country	Visitors	Pageviews	Bounce Rate	Duration
US	3704	16113	51%	3m 33s
CN	1077	1140	98%	2s
GB	362	855	55%	56s
DE	336	1186	51%	2m 03s
AU	284	1603	48%	4m 10s
CA	196	359	57%	16s
FR	110	257	61%	1m 16s
NL	94	124	81%	8s
IN	93	179	74%	17s
CH	92	180	71%	2m 04s
BE	92	484	30%	3m 56s
BR	85	163	81%	52s
IT	80	171	44%	59s
KE	66	107	77%	32s
ES	63	124	67%	49s
RU	45	58	87%	9s
SG	44	84	86%	14s
PL	37	72	81%	52s
JP	33	55	68%	51s
VN	31	36	90%	18s
HK	28	39	86%	7s
ZA	26	46	69%	27s
SE	24	37	88%	14s
CZ	22	35	86%	1m 36s
AT	22	33	78%	9s
MX	21	29	82%	7s
NO	18	27	72%	8s
TR	17	22	82%	8s
IE	17	24	76%	-
TW	15	36	78%	41s
NZ	15	17	87%	11s
FI	14	16	86%	-
AR	14	21	94%	7s
IR	14	16	86%	2s
HU	13	24	71%	38s
TH	13	21	69%	22s
RO	12	14	92%	3s
PT	11	33	64%	4m 00s
KR	11	18	82%	15s
BD	11	15	82%	10s
AE	11	38	55%	1m 17s
ET	10	15	50%	9s
PE	10	16	75%	13s
SA	10	26	80%	26s
IQ	10	21	75%	1m 25s
IL	9	24	77%	3m 16s
GR	9	26	56%	49s
ID	9	15	78%	1m 19s
UA	9	12	89%	15s
NG	8	17	62%	9s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
DK	8	8	100%	-
EG	8	10	75%	4s
AD	8	26	62%	10m 16s
PH	7	10	88%	6s
GM	7	12	57%	2m 59s
MY	7	14	71%	12s
CM	6	6	100%	-
CO	6	6	100%	-
CL	6	13	83%	37s
DZ	6	6	100%	-
MW	5	9	80%	2s
BS	5	9	80%	11s
MA	5	10	80%	5m 37s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
JO	4	12	75%	1m 43s
PK	4	13	75%	20s
BO	3	3	100%	-
IS	3	3	100%	-
BY	3	3	100%	-
KZ	3	3	100%	-
BZ	3	9	67%	17s
EC	3	4	100%	-
LU	3	3	100%	-
MG	3	12	25%	1m 14s
KH	3	3	100%	-
LA	3	3	100%	-
ML	2	2	100%	-
LB	2	2	100%	-
SK	2	3	50%	-
UG	2	4	50%	2m 05s
PA	2	2	100%	-
TN	2	5	50%	1m 51s
AL	2	4	0%	30s
LK	2	6	50%	2m 48s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
LT	2	2	100%	-
VE	2	2	100%	-
PR	2	2	100%	-
QA	2	2	100%	-
PY	2	2	100%	-
NA	1	1	100%	-
MN	1	3	0%	13s
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
MU	1	2	0%	9s
NP	1	1	100%	-
BG	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
UZ	1	1	100%	-
SI	1	1	100%	-
GY	1	1	100%	-
SC	1	1	100%	-
AF	1	1	100%	-
