country	Visitors	Pageviews	Bounce Rate	Duration
US	10592	65307	68%	9m 41s
CN	2647	2775	98%	3s
GB	667	1259	70%	36s
DE	514	1524	61%	1m 43s
BR	465	553	95%	14s
AU	390	2279	49%	4m 37s
IR	333	341	98%	1s
CA	282	495	65%	17s
VN	245	251	98%	2s
IN	244	383	80%	25s
FR	222	474	70%	1m 00s
NL	172	235	87%	18s
CH	146	355	67%	1m 40s
IT	135	248	53%	45s
BE	132	688	36%	4m 31s
UA	129	132	99%	1s
PL	104	150	90%	22s
SG	100	149	92%	7s
ES	95	159	76%	33s
BD	70	76	96%	5s
KE	66	107	77%	32s
JP	63	163	68%	54s
HK	56	68	91%	7s
RU	52	74	87%	11s
SE	51	75	88%	21s
RO	50	52	98%	1s
ZA	45	73	79%	17s
AR	42	50	95%	3s
KR	40	65	80%	55s
TR	38	48	87%	6s
MX	35	50	86%	17s
AT	32	45	82%	10s
NO	28	37	82%	5s
CZ	27	40	89%	1m 18s
CO	26	26	100%	-
IE	26	37	77%	3s
MY	23	32	87%	4s
TW	22	46	80%	33s
PT	22	45	83%	1m 55s
AE	22	49	77%	39s
PK	22	35	86%	21s
TH	20	31	75%	17s
FI	19	24	84%	1s
NZ	19	23	79%	21s
CL	18	26	89%	13s
DK	17	18	94%	7s
SA	17	33	88%	15s
ID	17	23	88%	42s
PH	16	19	94%	3s
HU	16	27	76%	31s
PE	14	20	81%	10s
IQ	14	26	82%	1m 00s
NG	13	22	77%	6s
ET	12	17	58%	8s
IL	12	27	81%	2m 39s
DZ	12	12	100%	-
AD	11	29	73%	7m 28s
LU	11	11	100%	-
BM	10	24	60%	2m 12s
GR	10	27	60%	44s
MA	10	15	90%	2m 48s
LT	10	10	100%	-
EG	9	11	78%	3s
AL	9	11	78%	7s
AS	9	15	67%	7s
SN	8	18	67%	2m 39s
BY	8	8	100%	-
VE	8	8	100%	-
GE	8	8	100%	-
GM	7	12	57%	2m 59s
JO	7	15	86%	59s
IS	6	6	100%	-
CM	6	6	100%	-
MD	6	6	100%	-
EC	6	7	100%	-
PY	6	9	83%	19s
TT	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
CR	5	8	60%	46s
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
LK	5	15	60%	1m 23s
MU	5	6	80%	2s
BG	5	5	100%	-
LV	4	6	75%	5m 00s
PA	4	4	100%	-
KZ	4	4	100%	-
RS	4	5	75%	8s
MG	4	13	40%	59s
NP	4	4	100%	-
AO	4	4	100%	-
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
BH	3	9	33%	4m 09s
QA	3	3	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
DO	3	3	100%	-
UZ	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
ML	2	2	100%	-
MN	2	22	0%	34s
LY	2	2	100%	-
RW	2	6	0%	58s
PR	2	2	100%	-
BA	2	2	100%	-
AZ	2	2	100%	-
CG	2	2	100%	-
SC	2	2	100%	-
KW	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
AG	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
SV	1	1	100%	-
UY	1	1	100%	-
OM	1	1	100%	-
GI	1	1	100%	-
GT	1	1	100%	-
