country	Visitors	Pageviews	Bounce Rate	Duration
US	678	1772	60%	2m 29s
GB	98	217	56%	1m 05s
DE	62	329	37%	1m 32s
NL	25	30	80%	11s
FR	24	43	62%	1m 34s
CN	17	17	100%	-
AU	17	52	77%	3m 18s
CA	17	27	72%	42s
ES	15	31	62%	1m 23s
TW	14	27	82%	41s
CH	14	26	88%	35s
BE	12	62	5%	7m 08s
IN	9	15	44%	30s
IT	9	15	78%	22s
ZA	9	20	67%	22s
PE	8	14	70%	16s
KE	7	17	57%	25s
GM	7	12	57%	2m 59s
ET	6	10	33%	14s
FI	6	7	83%	-
RU	6	13	50%	8s
CM	6	6	100%	-
BR	5	17	40%	4m 02s
CZ	5	5	100%	-
HU	5	13	60%	1m 43s
MW	4	4	100%	-
LV	4	6	75%	5m 00s
GH	3	6	33%	30s
IS	3	3	100%	-
IL	3	4	67%	5s
NO	3	6	0%	11s
SN	3	6	67%	6m 45s
TR	3	6	33%	36s
DK	3	3	100%	-
JP	2	2	100%	-
BM	2	2	100%	-
CR	2	3	50%	18s
AR	2	2	100%	-
GR	2	2	100%	-
EG	2	3	50%	3s
CO	2	2	100%	-
NG	1	2	0%	6s
MX	1	1	100%	-
BO	1	1	100%	-
ML	1	1	100%	-
NA	1	1	100%	-
PH	1	1	100%	-
VN	1	1	100%	-
RO	1	1	100%	-
TH	1	1	100%	-
MY	1	1	100%	-
LB	1	1	100%	-
PT	1	2	0%	24m 43s
AT	1	1	100%	-
SK	1	2	0%	-
UG	1	1	100%	-
NZ	1	1	100%	-
PA	1	1	100%	-
BY	1	1	100%	-
MN	1	3	0%	13s
SG	1	6	0%	34s
TN	1	4	0%	3m 42s
KR	1	1	100%	-
HK	1	3	0%	9s
