country	Visitors	Pageviews	Bounce Rate	Duration
US	7543	35686	67%	6m 23s
CN	2232	2319	98%	2s
GB	506	1095	62%	47s
DE	474	1438	60%	1m 48s
AU	340	2122	47%	4m 50s
CA	248	460	61%	19s
VN	234	240	98%	2s
IN	195	328	77%	28s
FR	167	327	72%	52s
NL	149	212	85%	21s
BE	130	686	35%	4m 35s
CH	129	328	65%	1m 50s
BR	126	204	86%	38s
IT	122	235	48%	50s
IR	107	115	94%	4s
ES	89	153	74%	35s
PL	80	115	91%	24s
SG	76	124	90%	10s
KE	66	107	77%	32s
RU	47	69	85%	12s
UA	47	50	98%	3s
JP	45	92	69%	56s
SE	40	58	88%	16s
BD	37	41	95%	3s
ZA	36	60	76%	21s
HK	36	48	86%	12s
RO	32	34	97%	1s
TR	30	40	83%	7s
AT	30	43	81%	11s
MX	28	36	86%	5s
KR	27	38	81%	14s
CZ	25	38	88%	1m 25s
IE	25	36	76%	3s
NO	24	33	79%	6s
AR	24	32	92%	5s
TW	21	45	79%	34s
PT	20	43	81%	2m 06s
NZ	19	23	79%	21s
FI	18	23	83%	1s
TH	16	24	75%	18s
AE	16	43	69%	53s
CO	15	15	100%	-
PE	13	19	80%	11s
PH	13	16	93%	3s
HU	13	24	71%	38s
DK	13	14	92%	9s
SA	13	29	85%	20s
ID	13	19	85%	55s
NG	12	21	75%	6s
IL	12	27	81%	2m 39s
CL	12	19	92%	18s
ET	11	16	55%	9s
MY	11	20	73%	9s
PK	11	24	73%	42s
IQ	11	23	79%	1m 13s
DZ	11	11	100%	-
GR	10	27	60%	44s
LU	10	10	100%	-
AD	9	27	67%	9m 08s
MA	9	14	89%	3m 07s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
EG	8	10	75%	4s
LT	8	8	100%	-
GM	7	12	57%	2m 59s
CM	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
IS	5	5	100%	-
BY	5	5	100%	-
TN	5	20	40%	2m 34s
MD	5	5	100%	-
BS	5	9	80%	11s
JO	5	13	80%	1m 22s
EC	5	6	100%	-
VE	5	5	100%	-
AS	5	8	60%	8s
GE	5	5	100%	-
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
AL	4	6	50%	15s
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
MG	4	13	40%	59s
BG	4	4	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
BZ	3	9	67%	17s
RS	3	4	67%	10s
KH	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
ML	2	2	100%	-
MN	2	22	0%	34s
LY	2	2	100%	-
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
PR	2	2	100%	-
NP	2	2	100%	-
QA	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SC	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
