country	Visitors	Pageviews	Bounce Rate	Duration
US	7948	40184	67%	7m 06s
CN	2322	2412	98%	2s
GB	523	1112	63%	45s
DE	482	1452	61%	1m 47s
AU	348	2175	47%	4m 58s
CA	252	464	61%	19s
VN	235	241	98%	2s
IN	207	345	77%	29s
FR	195	441	67%	1m 06s
NL	159	222	86%	19s
IR	150	158	96%	3s
BR	133	212	86%	36s
CH	131	330	65%	1m 48s
BE	130	686	35%	4m 35s
IT	127	240	50%	48s
ES	90	154	74%	34s
PL	87	123	91%	23s
SG	81	129	91%	9s
UA	79	82	99%	2s
KE	66	107	77%	32s
JP	50	107	67%	52s
RU	47	69	85%	12s
BD	43	49	93%	9s
SE	41	59	88%	15s
HK	38	50	87%	11s
ZA	36	60	76%	21s
RO	36	38	97%	1s
TR	31	41	84%	7s
AT	31	44	81%	10s
KR	30	41	83%	12s
MX	29	37	87%	5s
CZ	25	38	88%	1m 25s
IE	25	36	76%	3s
NO	24	33	79%	6s
AR	24	32	92%	5s
TW	21	45	79%	34s
PT	20	43	81%	2m 06s
FI	19	24	84%	1s
NZ	19	23	79%	21s
AE	18	45	72%	47s
TH	17	25	76%	17s
CO	15	15	100%	-
HU	14	25	73%	35s
DK	14	15	93%	8s
SA	14	30	86%	18s
ID	14	20	86%	51s
PE	13	19	80%	11s
PH	13	16	93%	3s
CL	13	21	85%	18s
NG	12	21	75%	6s
IL	12	27	81%	2m 39s
MY	12	21	75%	8s
ET	11	16	55%	9s
PK	11	24	73%	42s
IQ	11	23	79%	1m 13s
DZ	11	11	100%	-
GR	10	27	60%	44s
LU	10	10	100%	-
BM	9	18	67%	32s
EG	9	11	78%	3s
AD	9	27	67%	9m 08s
MA	9	14	89%	3m 07s
LT	9	9	100%	-
SN	8	18	67%	2m 39s
GM	7	12	57%	2m 59s
CM	6	6	100%	-
AL	6	8	67%	10s
GH	5	8	60%	18s
MW	5	9	80%	2s
IS	5	5	100%	-
BY	5	5	100%	-
TN	5	20	40%	2m 34s
MD	5	5	100%	-
BS	5	9	80%	11s
JO	5	13	80%	1m 22s
EC	5	6	100%	-
VE	5	5	100%	-
AS	5	8	60%	8s
GE	5	5	100%	-
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
PA	4	4	100%	-
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
MG	4	13	40%	59s
BG	4	4	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
RS	3	4	67%	10s
KH	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
ML	2	2	100%	-
MN	2	22	0%	34s
LY	2	2	100%	-
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
PR	2	2	100%	-
NP	2	2	100%	-
QA	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SC	2	2	100%	-
KW	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
