country	Visitors	Pageviews	Bounce Rate	Duration
US	3551	15638	50%	3m 35s
CN	1023	1086	98%	2s
GB	340	796	56%	52s
DE	299	1142	47%	2m 15s
AU	283	1597	48%	4m 11s
CA	193	354	57%	16s
FR	108	251	61%	1m 17s
BE	92	484	30%	3m 56s
NL	87	117	80%	9s
CH	84	164	72%	1m 52s
IN	83	153	75%	18s
BR	80	158	80%	55s
IT	71	157	44%	1m 05s
KE	66	107	77%	32s
ES	63	124	67%	49s
RU	42	55	86%	10s
SG	40	80	85%	15s
PL	33	68	79%	58s
JP	32	54	67%	53s
HK	27	36	89%	4s
ZA	26	46	69%	27s
VN	26	31	88%	21s
CZ	22	35	86%	1m 36s
MX	19	27	80%	8s
NO	18	27	72%	8s
AT	18	26	79%	7s
SE	18	31	83%	18s
IE	17	24	76%	-
TW	15	36	78%	41s
TR	15	20	80%	9s
NZ	15	17	87%	11s
IR	14	16	86%	2s
FI	13	15	85%	-
HU	13	24	71%	38s
AR	13	15	100%	-
TH	13	21	69%	22s
RO	11	13	91%	3s
PT	11	33	64%	4m 00s
ET	10	15	50%	9s
PE	10	16	75%	13s
SA	10	26	80%	26s
AE	10	37	50%	1m 25s
IL	9	24	77%	3m 16s
GR	9	26	56%	49s
KR	9	15	89%	16s
ID	9	15	78%	1m 19s
UA	9	12	89%	15s
NG	8	17	62%	9s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
DK	8	8	100%	-
EG	8	10	75%	4s
AD	8	26	62%	10m 16s
BD	8	12	75%	14s
IQ	8	19	70%	1m 42s
PH	7	10	88%	6s
GM	7	12	57%	2m 59s
MY	7	14	71%	12s
CM	6	6	100%	-
CO	6	6	100%	-
MW	5	9	80%	2s
BS	5	9	80%	11s
CL	5	12	80%	44s
AS	5	8	60%	8s
GH	4	7	50%	23s
LV	4	6	75%	5m 00s
MA	4	9	75%	7m 01s
JO	4	12	75%	1m 43s
PK	4	13	75%	20s
DZ	4	4	100%	-
BO	3	3	100%	-
CR	3	6	33%	1m 17s
IS	3	3	100%	-
BY	3	3	100%	-
KZ	3	3	100%	-
BZ	3	9	67%	17s
EC	3	4	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
ML	2	2	100%	-
LB	2	2	100%	-
SK	2	3	50%	-
PA	2	2	100%	-
TN	2	5	50%	1m 51s
AL	2	4	0%	30s
LK	2	6	50%	2m 48s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
LT	2	2	100%	-
MG	2	10	33%	1m 33s
PR	2	2	100%	-
QA	2	2	100%	-
PY	2	2	100%	-
NA	1	1	100%	-
UG	1	1	100%	-
MN	1	3	0%	13s
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
LU	1	1	100%	-
MU	1	2	0%	9s
VE	1	1	100%	-
NP	1	1	100%	-
BG	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
