country	Visitors	Pageviews	Bounce Rate	Duration
US	11104	68261	68%	9m 40s
CN	2745	2895	97%	4s
GB	687	1280	71%	35s
BR	595	683	96%	11s
DE	525	1537	61%	1m 41s
AU	403	2294	50%	4m 30s
IR	334	342	98%	1s
CA	296	522	65%	21s
IN	271	413	82%	23s
VN	257	263	98%	2s
FR	244	496	73%	55s
NL	176	239	87%	17s
UA	153	156	99%	1s
CH	149	359	67%	1m 38s
IT	138	251	54%	44s
BE	135	692	37%	4m 26s
PL	110	156	91%	21s
SG	102	151	92%	7s
ES	98	162	76%	32s
BD	81	87	96%	5s
KE	73	114	79%	29s
RU	68	90	90%	8s
JP	66	166	69%	52s
ZA	64	92	85%	12s
HK	61	73	92%	7s
AR	55	63	96%	2s
MX	54	69	91%	11s
RO	53	55	98%	1s
SE	52	76	88%	21s
PK	47	60	94%	10s
KR	45	70	82%	49s
CO	44	44	100%	-
TR	43	53	88%	5s
SA	35	54	91%	13s
AT	32	45	82%	10s
CL	30	38	93%	8s
NO	28	37	82%	5s
IE	28	39	79%	2s
CZ	27	40	89%	1m 18s
DK	27	28	96%	4s
AE	27	54	81%	32s
TH	25	36	80%	13s
MY	24	33	88%	4s
PT	24	47	84%	1m 46s
TW	22	46	80%	33s
ID	22	31	86%	42s
IQ	22	34	88%	41s
DZ	20	20	100%	-
NG	19	28	84%	4s
FI	19	24	84%	1s
NZ	19	23	79%	21s
MA	19	24	95%	1m 29s
PH	17	20	94%	2s
HU	17	28	78%	29s
ET	16	22	62%	6s
PE	15	21	82%	9s
IL	15	30	84%	2m 14s
TN	15	30	80%	51s
BM	12	26	67%	1m 50s
SN	12	22	77%	1m 50s
GR	12	31	58%	46s
AL	12	14	83%	5s
KZ	12	12	100%	-
JO	12	20	92%	34s
LU	12	12	100%	-
MU	12	13	92%	1s
AS	12	22	67%	6s
EG	11	13	82%	3s
AD	11	29	73%	7m 28s
LT	11	11	100%	-
EC	10	11	100%	-
VE	10	10	100%	-
GE	9	9	100%	-
BY	8	8	100%	-
AO	8	8	100%	-
TT	8	8	100%	-
GM	7	12	57%	2m 59s
MD	7	7	100%	-
LK	7	17	71%	59s
BG	7	7	100%	-
PY	7	10	86%	16s
UZ	7	7	100%	-
CR	6	9	67%	39s
IS	6	6	100%	-
CM	6	6	100%	-
BA	6	6	100%	-
AZ	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
BO	5	5	100%	-
LV	5	7	80%	4m 00s
PA	5	5	100%	-
BS	5	9	80%	11s
BH	5	11	60%	2m 30s
NP	5	5	100%	-
KH	5	5	100%	-
MN	4	24	50%	17s
RS	4	5	75%	8s
MG	4	13	40%	59s
CG	4	4	100%	-
DO	4	4	100%	-
TZ	4	5	75%	55s
UY	4	4	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
QA	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
KW	3	3	100%	-
OM	3	3	100%	-
GT	3	3	100%	-
SY	3	3	100%	-
ML	2	2	100%	-
HR	2	3	50%	2s
LY	2	2	100%	-
BF	2	2	100%	-
RW	2	6	0%	58s
CY	2	2	100%	-
PR	2	2	100%	-
GY	2	2	100%	-
SC	2	2	100%	-
CI	2	2	100%	-
PS	2	2	100%	-
NA	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
CD	1	1	100%	-
ZW	1	1	100%	-
AG	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
SV	1	1	100%	-
GI	1	1	100%	-
LR	1	1	100%	-
XK	1	1	100%	-
GA	1	1	100%	-
HN	1	1	100%	-
MM	1	1	100%	-
TG	1	1	100%	-
JM	1	1	100%	-
