country	Visitors	Pageviews	Bounce Rate	Duration
US	4808	20016	57%	4m 23s
CN	1480	1547	98%	1s
GB	397	927	56%	51s
DE	388	1280	55%	1m 53s
AU	298	1644	48%	4m 13s
CA	207	375	58%	16s
IN	128	235	76%	35s
FR	122	269	64%	1m 09s
NL	110	140	84%	7s
CH	107	255	66%	2m 00s
BE	106	560	31%	4m 19s
IT	100	203	46%	59s
BR	90	168	82%	50s
ES	72	136	68%	42s
KE	66	107	77%	32s
VN	64	70	94%	9s
SG	48	96	85%	14s
RU	46	68	85%	12s
PL	45	80	84%	42s
JP	35	76	67%	1m 10s
SE	32	50	84%	20s
HK	31	43	84%	13s
ZA	27	47	70%	26s
AT	26	39	78%	12s
CZ	24	37	88%	1m 28s
MX	22	30	83%	7s
NO	22	31	77%	7s
TR	20	27	80%	8s
NZ	19	23	79%	21s
IE	18	25	78%	-
PT	17	40	78%	2m 27s
TW	16	37	79%	39s
FI	16	18	88%	-
RO	15	17	93%	2s
KR	15	23	80%	13s
IR	15	17	87%	1s
AR	14	21	94%	7s
HU	13	24	71%	38s
TH	13	21	69%	22s
BD	12	16	83%	9s
DK	11	11	100%	-
AE	11	38	55%	1m 17s
ET	10	15	50%	9s
PE	10	16	75%	13s
SA	10	26	80%	26s
ID	10	16	80%	1m 11s
IQ	10	21	75%	1m 25s
NG	9	18	67%	8s
IL	9	24	77%	3m 16s
GR	9	26	56%	49s
UA	9	12	89%	15s
BM	8	17	62%	36s
PH	8	11	89%	5s
SN	8	18	67%	2m 39s
MY	8	15	75%	10s
EG	8	10	75%	4s
AD	8	26	62%	10m 16s
CL	8	15	88%	28s
LU	8	8	100%	-
GM	7	12	57%	2m 59s
CO	7	7	100%	-
CM	6	6	100%	-
MA	6	11	83%	4m 41s
DZ	6	6	100%	-
MW	5	9	80%	2s
BY	5	5	100%	-
BS	5	9	80%	11s
PK	5	14	80%	16s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
TN	4	19	25%	3m 13s
JO	4	12	75%	1m 43s
BO	3	3	100%	-
IS	3	3	100%	-
LB	3	3	100%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
KZ	3	3	100%	-
LK	3	13	33%	2m 18s
BZ	3	9	67%	17s
EC	3	4	100%	-
MG	3	12	25%	1m 14s
KH	3	3	100%	-
PY	3	6	67%	37s
LA	3	3	100%	-
ML	2	2	100%	-
SK	2	3	50%	-
MN	2	22	0%	34s
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
LT	2	2	100%	-
MU	2	3	50%	4s
VE	2	2	100%	-
PR	2	2	100%	-
QA	2	2	100%	-
BG	2	2	100%	-
SC	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
UZ	1	1	100%	-
SI	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
