country	Visitors	Pageviews	Bounce Rate	Duration
US	3869	16657	51%	3m 29s
CN	1114	1177	98%	2s
GB	386	896	56%	52s
DE	358	1243	53%	2m 00s
AU	288	1614	48%	4m 11s
CA	201	368	57%	16s
FR	117	264	63%	1m 12s
IN	111	215	75%	40s
CH	102	238	67%	1m 59s
NL	100	130	82%	8s
BE	99	534	30%	4m 26s
IT	95	198	44%	1m 02s
BR	87	165	81%	51s
ES	66	127	68%	47s
KE	66	107	77%	32s
VN	47	52	94%	12s
RU	46	68	85%	12s
SG	44	84	86%	14s
PL	39	74	82%	49s
JP	34	56	68%	50s
HK	29	40	86%	7s
SE	28	43	86%	18s
ZA	27	47	70%	26s
CZ	23	36	87%	1m 32s
MX	22	30	83%	7s
NO	22	31	77%	7s
AT	22	33	78%	9s
TR	19	26	79%	8s
NZ	17	21	76%	23s
IE	17	24	76%	-
TW	15	36	78%	41s
FI	15	17	87%	-
PT	15	38	75%	2m 45s
IR	15	17	87%	1s
AR	14	21	94%	7s
HU	13	24	71%	38s
RO	13	15	92%	3s
TH	13	21	69%	22s
KR	12	19	83%	14s
DK	11	11	100%	-
BD	11	15	82%	10s
AE	11	38	55%	1m 17s
ET	10	15	50%	9s
PE	10	16	75%	13s
SA	10	26	80%	26s
IQ	10	21	75%	1m 25s
IL	9	24	77%	3m 16s
GR	9	26	56%	49s
ID	9	15	78%	1m 19s
UA	9	12	89%	15s
NG	8	17	62%	9s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
MY	8	15	75%	10s
EG	8	10	75%	4s
AD	8	26	62%	10m 16s
CL	8	15	88%	28s
PH	7	10	88%	6s
GM	7	12	57%	2m 59s
CM	6	6	100%	-
CO	6	6	100%	-
LU	6	6	100%	-
DZ	6	6	100%	-
MW	5	9	80%	2s
BS	5	9	80%	11s
MA	5	10	80%	5m 37s
PK	5	14	80%	16s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
BY	4	4	100%	-
JO	4	12	75%	1m 43s
BO	3	3	100%	-
IS	3	3	100%	-
KZ	3	3	100%	-
LK	3	13	33%	2m 18s
BZ	3	9	67%	17s
EC	3	4	100%	-
MG	3	12	25%	1m 14s
KH	3	3	100%	-
PY	3	6	67%	37s
LA	3	3	100%	-
ML	2	2	100%	-
LB	2	2	100%	-
SK	2	3	50%	-
UG	2	4	50%	2m 05s
PA	2	2	100%	-
MN	2	22	0%	34s
TN	2	5	50%	1m 51s
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
LT	2	2	100%	-
MU	2	3	50%	4s
VE	2	2	100%	-
PR	2	2	100%	-
QA	2	2	100%	-
NA	1	1	100%	-
MD	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BG	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
AZ	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
UZ	1	1	100%	-
SI	1	1	100%	-
GY	1	1	100%	-
SC	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
TZ	1	1	100%	-
