country	Visitors	Pageviews	Bounce Rate	Duration
US	6362	29949	64%	6m 11s
CN	1706	1780	98%	2s
GB	450	1018	59%	50s
DE	445	1400	59%	1m 54s
AU	326	1853	48%	4m 17s
CA	227	417	60%	18s
VN	205	211	98%	3s
IN	166	290	75%	28s
FR	144	292	69%	59s
NL	131	172	84%	8s
CH	128	326	65%	1m 50s
BE	121	672	32%	4m 53s
BR	114	192	85%	41s
IT	108	216	46%	56s
ES	87	151	74%	35s
KE	66	107	77%	32s
PL	64	99	89%	30s
SG	60	108	88%	12s
RU	46	68	85%	12s
JP	37	78	68%	1m 06s
SE	37	55	86%	17s
HK	33	45	85%	13s
ZA	31	55	72%	24s
AT	30	43	81%	11s
MX	28	36	86%	5s
RO	27	29	96%	1s
TR	26	36	81%	8s
CZ	24	37	88%	1m 28s
NO	23	32	78%	7s
KR	22	32	82%	12s
IE	22	32	77%	3s
BD	21	25	90%	5s
NZ	19	23	79%	21s
TW	18	39	81%	36s
AR	18	26	90%	6s
PT	18	41	79%	2m 19s
FI	17	19	88%	-
IR	17	20	82%	2s
TH	15	23	73%	19s
HU	13	24	71%	38s
DK	13	14	92%	9s
AE	13	40	62%	1m 05s
NG	12	21	75%	6s
PE	12	18	79%	12s
PH	12	15	92%	3s
SA	12	28	83%	22s
UA	12	15	92%	11s
ET	11	16	55%	9s
IL	11	26	80%	2m 50s
CO	11	11	100%	-
ID	11	17	82%	1m 05s
DZ	11	11	100%	-
MY	10	19	70%	10s
GR	10	27	60%	44s
LU	10	10	100%	-
IQ	10	21	75%	1m 25s
AD	9	27	67%	9m 08s
MA	9	14	89%	3m 07s
CL	9	16	89%	24s
PK	9	22	67%	52s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
EG	8	10	75%	4s
GM	7	12	57%	2m 59s
CM	6	6	100%	-
LT	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
IS	5	5	100%	-
BY	5	5	100%	-
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
EC	5	6	100%	-
AS	5	8	60%	8s
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
JO	4	12	75%	1m 43s
VE	4	4	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
BZ	3	9	67%	17s
MG	3	12	25%	1m 14s
BG	3	3	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
ML	2	2	100%	-
MN	2	22	0%	34s
MD	2	2	100%	-
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
PR	2	2	100%	-
QA	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SI	2	2	100%	-
SC	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
GE	1	1	100%	-
EE	1	3	0%	31s
