country	Visitors	Pageviews	Bounce Rate	Duration
US	5782	25414	63%	5m 24s
CN	1619	1690	98%	2s
DE	439	1386	58%	1m 52s
GB	437	985	59%	51s
AU	314	1815	47%	4m 16s
CA	217	391	59%	17s
IN	160	279	75%	29s
VN	160	166	98%	4s
FR	140	288	68%	1m 01s
NL	130	171	84%	8s
CH	122	300	67%	1m 53s
BE	118	660	30%	4m 57s
BR	106	184	84%	44s
IT	103	206	48%	58s
ES	83	147	72%	37s
KE	66	107	77%	32s
PL	63	98	89%	30s
SG	53	101	86%	13s
RU	46	68	85%	12s
JP	37	78	68%	1m 06s
SE	37	55	86%	17s
HK	33	45	85%	13s
ZA	31	55	72%	24s
AT	30	43	81%	11s
MX	26	34	85%	6s
RO	25	27	96%	1s
CZ	24	37	88%	1m 28s
NO	23	32	78%	7s
TR	22	29	82%	7s
KR	22	32	82%	12s
IE	20	30	75%	3s
NZ	19	23	79%	21s
BD	19	23	89%	6s
PT	18	41	79%	2m 19s
TW	17	38	80%	37s
FI	17	19	88%	-
IR	17	20	82%	2s
AR	16	23	94%	6s
TH	14	22	71%	21s
HU	13	24	71%	38s
AE	13	40	62%	1m 05s
PH	12	15	92%	3s
DK	12	12	100%	-
SA	12	28	83%	22s
ET	11	16	55%	9s
NG	11	20	73%	7s
PE	11	17	77%	12s
ID	11	17	82%	1m 05s
UA	11	14	91%	12s
DZ	11	11	100%	-
GR	10	27	60%	44s
CO	10	10	100%	-
LU	10	10	100%	-
IQ	10	21	75%	1m 25s
IL	9	24	77%	3m 16s
MY	9	16	78%	9s
AD	9	27	67%	9m 08s
CL	9	16	89%	24s
PK	9	22	67%	52s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
EG	8	10	75%	4s
MA	8	13	88%	3m 30s
GM	7	12	57%	2m 59s
CM	6	6	100%	-
MW	5	9	80%	2s
BY	5	5	100%	-
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
AS	5	8	60%	8s
GH	4	7	50%	23s
CR	4	7	50%	58s
IS	4	4	100%	-
LV	4	6	75%	5m 00s
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
JO	4	12	75%	1m 43s
LT	4	4	100%	-
EC	4	5	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
BZ	3	9	67%	17s
MG	3	12	25%	1m 14s
VE	3	3	100%	-
BG	3	3	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
ML	2	2	100%	-
SK	2	3	50%	-
MN	2	22	0%	34s
MD	2	2	100%	-
AL	2	4	0%	30s
RS	2	3	50%	16s
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
PR	2	2	100%	-
QA	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SI	2	2	100%	-
SC	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
LY	1	1	100%	-
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
NP	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
