country	Visitors	Pageviews	Bounce Rate	Duration
US	8612	43457	68%	7m 22s
CN	2416	2524	98%	3s
GB	569	1158	66%	42s
DE	488	1463	61%	1m 46s
AU	371	2225	48%	4m 45s
IR	287	295	98%	2s
CA	266	479	63%	18s
VN	237	243	98%	2s
IN	224	363	78%	27s
FR	212	462	69%	1m 03s
NL	170	233	87%	18s
BR	143	222	87%	34s
CH	139	342	66%	1m 44s
IT	133	246	53%	46s
BE	130	686	35%	4m 35s
UA	111	114	99%	1s
PL	96	142	90%	24s
ES	90	154	74%	34s
SG	88	136	91%	8s
KE	66	107	77%	32s
BD	60	66	95%	6s
JP	57	114	71%	46s
HK	51	63	90%	8s
RU	49	71	86%	11s
SE	48	72	88%	22s
RO	47	49	98%	1s
ZA	42	66	79%	18s
KR	34	45	85%	11s
TR	33	43	85%	7s
AT	32	45	82%	10s
MX	30	38	87%	5s
CZ	27	40	89%	1m 18s
NO	26	35	81%	6s
AR	26	34	93%	4s
IE	26	37	77%	3s
TW	22	46	80%	33s
PT	22	45	83%	1m 55s
MY	20	29	85%	5s
AE	20	47	75%	43s
FI	19	24	84%	1s
TH	19	30	74%	18s
NZ	19	23	79%	21s
ID	16	22	88%	45s
HU	15	26	75%	33s
CO	15	15	100%	-
SA	15	31	87%	17s
PH	14	17	93%	3s
DK	14	15	93%	8s
CL	14	22	86%	17s
PK	14	27	79%	33s
PE	13	19	80%	11s
NG	12	21	75%	6s
IL	12	27	81%	2m 39s
ET	11	16	55%	9s
IQ	11	23	79%	1m 13s
DZ	11	11	100%	-
GR	10	27	60%	44s
LT	10	10	100%	-
LU	10	10	100%	-
BM	9	18	67%	32s
EG	9	11	78%	3s
AD	9	27	67%	9m 08s
MA	9	14	89%	3m 07s
SN	8	18	67%	2m 39s
BY	8	8	100%	-
AL	8	10	75%	7s
GM	7	12	57%	2m 59s
GE	7	7	100%	-
IS	6	6	100%	-
CM	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
TN	5	20	40%	2m 34s
MD	5	5	100%	-
BS	5	9	80%	11s
LK	5	15	60%	1m 23s
JO	5	13	80%	1m 22s
EC	5	6	100%	-
VE	5	5	100%	-
AS	5	8	60%	8s
BG	5	5	100%	-
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
PA	4	4	100%	-
KZ	4	4	100%	-
RS	4	5	75%	8s
MG	4	13	40%	59s
NP	4	4	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
BZ	3	9	67%	17s
MU	3	4	67%	3s
QA	3	3	100%	-
KH	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
TZ	3	4	67%	1m 14s
AO	3	3	100%	-
ML	2	2	100%	-
MN	2	22	0%	34s
LY	2	2	100%	-
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
PR	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SC	2	2	100%	-
KW	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
