country	Visitors	Pageviews	Bounce Rate	Duration
US	7014	33980	66%	6m 20s
CN	1843	1925	98%	2s
GB	477	1063	60%	49s
DE	461	1425	59%	1m 51s
AU	340	2122	47%	4m 50s
CA	239	441	60%	19s
VN	232	238	98%	2s
IN	189	321	76%	28s
FR	157	314	71%	55s
NL	138	200	84%	22s
CH	129	328	65%	1m 50s
BE	128	683	34%	4m 40s
BR	120	198	86%	39s
IT	118	231	47%	51s
ES	88	152	74%	35s
SG	72	120	90%	10s
PL	68	103	90%	28s
KE	66	107	77%	32s
IR	53	61	89%	9s
RU	46	68	85%	12s
JP	42	83	72%	59s
SE	39	57	87%	16s
HK	35	47	86%	12s
ZA	34	58	74%	22s
TR	30	40	83%	7s
AT	30	43	81%	11s
UA	30	33	97%	5s
RO	29	31	97%	1s
MX	28	36	86%	5s
BD	28	32	93%	4s
IE	25	36	76%	3s
CZ	24	37	88%	1m 28s
NO	23	32	78%	7s
KR	23	33	83%	12s
AR	22	30	92%	5s
TW	21	45	79%	34s
NZ	19	23	79%	21s
FI	18	23	83%	1s
PT	18	41	79%	2m 19s
TH	16	24	75%	18s
AE	15	42	67%	57s
CO	14	14	100%	-
PE	13	19	80%	11s
PH	13	16	93%	3s
HU	13	24	71%	38s
DK	13	14	92%	9s
SA	13	29	85%	20s
ID	13	19	85%	55s
NG	12	21	75%	6s
IL	12	27	81%	2m 39s
CL	12	19	92%	18s
ET	11	16	55%	9s
MY	11	20	73%	9s
DZ	11	11	100%	-
GR	10	27	60%	44s
LU	10	10	100%	-
IQ	10	21	75%	1m 25s
AD	9	27	67%	9m 08s
MA	9	14	89%	3m 07s
PK	9	22	67%	52s
BM	8	17	62%	36s
SN	8	18	67%	2m 39s
EG	8	10	75%	4s
GM	7	12	57%	2m 59s
LT	7	7	100%	-
CM	6	6	100%	-
GH	5	8	60%	18s
MW	5	9	80%	2s
IS	5	5	100%	-
BY	5	5	100%	-
TN	5	20	40%	2m 34s
BS	5	9	80%	11s
JO	5	13	80%	1m 22s
EC	5	6	100%	-
VE	5	5	100%	-
AS	5	8	60%	8s
GE	5	5	100%	-
CR	4	7	50%	58s
LV	4	6	75%	5m 00s
KZ	4	4	100%	-
LK	4	14	50%	1m 43s
MG	4	13	40%	59s
BG	4	4	100%	-
PY	4	7	75%	28s
BO	3	3	100%	-
LB	3	3	100%	-
SK	3	4	67%	-
UG	3	5	67%	1m 23s
PA	3	3	100%	-
BZ	3	9	67%	17s
RS	3	4	67%	10s
KH	3	3	100%	-
LA	3	3	100%	-
SI	3	3	100%	-
ML	2	2	100%	-
MN	2	22	0%	34s
MD	2	2	100%	-
AL	2	4	0%	30s
LY	2	2	100%	-
BH	2	5	50%	5m 38s
RW	2	6	0%	58s
MU	2	3	50%	4s
PR	2	2	100%	-
NP	2	2	100%	-
QA	2	2	100%	-
AZ	2	2	100%	-
UZ	2	2	100%	-
SC	2	2	100%	-
TZ	2	2	100%	-
NA	1	1	100%	-
HR	1	2	0%	4s
SD	1	12	0%	3m 02s
ZM	1	4	0%	1m 16s
BF	1	1	100%	-
CD	1	1	100%	-
ZW	1	1	100%	-
CY	1	1	100%	-
BA	1	1	100%	-
AG	1	1	100%	-
CG	1	1	100%	-
DO	1	1	100%	-
GY	1	1	100%	-
AF	1	1	100%	-
AQ	1	3	0%	1m 52s
GU	1	5	0%	38s
PG	1	3	0%	15s
MO	1	1	100%	-
BW	1	1	100%	-
EE	1	3	0%	31s
TJ	1	1	100%	-
